row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,region,product_id,category,sub_category,sales
11,CA-2015-115812,9/6/2015 0:00,6/14/2015 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,1706.184
12,CA-2015-115812,9/6/2015 0:00,6/14/2015 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,911.424
13,CA-2018-114412,4/15/2018 0:00,4/20/2018 0:00,Standard Class,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,15.552
14,CA-2017-161389,5/12/2017 0:00,10/12/2017 0:00,Standard Class,IM-15070,Irene Maddox,Consumer,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,407.976
15,US-2016-118983,11/22/2016 0:00,11/26/2016 0:00,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,68.81
16,US-2016-118983,11/22/2016 0:00,11/26/2016 0:00,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,2.544
17,CA-2015-105893,11/11/2015 0:00,11/18/2015 0:00,Standard Class,PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,665.88
18,CA-2015-167164,5/13/2015 0:00,5/15/2015 0:00,Second Class,AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,55.5
19,CA-2015-143336,8/27/2015 0:00,1/9/2015 0:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,8.56
20,CA-2015-143336,8/27/2015 0:00,1/9/2015 0:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,213.48
21,CA-2015-143336,8/27/2015 0:00,1/9/2015 0:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,22.72
22,CA-2017-137330,9/12/2017 0:00,12/13/2017 0:00,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,19.46
23,CA-2017-137330,9/12/2017 0:00,12/13/2017 0:00,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,60.34
24,US-2018-156909,7/16/2018 0:00,7/18/2018 0:00,Second Class,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,71.372
25,CA-2016-106320,9/25/2016 0:00,9/30/2016 0:00,Standard Class,EB-13870,Emily Burns,Consumer,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,1044.63
26,CA-2017-121755,1/16/2017 0:00,1/20/2017 0:00,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,11.648
27,CA-2017-121755,1/16/2017 0:00,1/20/2017 0:00,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,90.57
28,US-2016-150630,9/17/2016 0:00,9/21/2016 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,3083.43
29,US-2016-150630,9/17/2016 0:00,9/21/2016 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,9.618
30,US-2016-150630,9/17/2016 0:00,9/21/2016 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,124.2
31,US-2016-150630,9/17/2016 0:00,9/21/2016 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,3.264
32,US-2016-150630,9/17/2016 0:00,9/21/2016 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,86.304
33,US-2016-150630,9/17/2016 0:00,9/21/2016 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,6.858
34,US-2016-150630,9/17/2016 0:00,9/21/2016 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,15.76
35,CA-2018-107727,10/19/2018 0:00,10/23/2018 0:00,Second Class,MA-17560,Matt Abelman,Home Office,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,29.472
36,CA-2017-117590,8/12/2017 0:00,10/12/2017 0:00,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,1097.544
37,CA-2017-117590,8/12/2017 0:00,10/12/2017 0:00,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,190.92
38,CA-2016-117415,12/27/2016 0:00,12/31/2016 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,113.328
39,CA-2016-117415,12/27/2016 0:00,12/31/2016 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,532.3992
40,CA-2016-117415,12/27/2016 0:00,12/31/2016 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,212.058
41,CA-2016-117415,12/27/2016 0:00,12/31/2016 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,371.168
42,CA-2018-120999,10/9/2018 0:00,9/15/2018 0:00,Standard Class,LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,147.168
43,CA-2017-101343,7/17/2017 0:00,7/22/2017 0:00,Standard Class,RA-19885,Ruben Ausman,Corporate,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,77.88
44,CA-2018-139619,9/19/2018 0:00,9/23/2018 0:00,Standard Class,ES-14080,Erin Smith,Corporate,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,95.616
45,CA-2017-118255,11/3/2017 0:00,3/13/2017 0:00,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,45.98
46,CA-2017-118255,11/3/2017 0:00,3/13/2017 0:00,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,17.46
47,CA-2015-146703,10/20/2015 0:00,10/25/2015 0:00,Second Class,PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,211.96
48,CA-2017-169194,6/20/2017 0:00,6/25/2017 0:00,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,45
49,CA-2017-169194,6/20/2017 0:00,6/25/2017 0:00,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,21.8
50,CA-2016-115742,4/18/2016 0:00,4/22/2016 0:00,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,38.22
51,CA-2016-115742,4/18/2016 0:00,4/22/2016 0:00,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,75.18
52,CA-2016-115742,4/18/2016 0:00,4/22/2016 0:00,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,6.16
53,CA-2016-115742,4/18/2016 0:00,4/22/2016 0:00,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,89.99
54,CA-2017-105816,11/12/2017 0:00,12/17/2017 0:00,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,15.26
55,CA-2017-105816,11/12/2017 0:00,12/17/2017 0:00,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,East,TEC-PH-10002447,Technology,Phones,1029.95
56,CA-2017-111682,6/17/2017 0:00,6/18/2017 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,208.56
57,CA-2017-111682,6/17/2017 0:00,6/18/2017 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,32.4
58,CA-2017-111682,6/17/2017 0:00,6/18/2017 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,319.41
59,CA-2017-111682,6/17/2017 0:00,6/18/2017 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,14.56
60,CA-2017-111682,6/17/2017 0:00,6/18/2017 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,30
61,CA-2017-111682,6/17/2017 0:00,6/18/2017 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,48.48
62,CA-2017-111682,6/17/2017 0:00,6/18/2017 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,1.68
63,CA-2016-135545,11/24/2016 0:00,11/30/2016 0:00,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,13.98
64,CA-2016-135545,11/24/2016 0:00,11/30/2016 0:00,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,25.824
65,CA-2016-135545,11/24/2016 0:00,11/30/2016 0:00,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,146.73
66,CA-2016-135545,11/24/2016 0:00,11/30/2016 0:00,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,79.76
67,US-2016-164175,4/30/2016 0:00,5/5/2016 0:00,Standard Class,PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,213.115
68,CA-2015-106376,5/12/2015 0:00,10/12/2015 0:00,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,1113.024
69,CA-2015-106376,5/12/2015 0:00,10/12/2015 0:00,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,167.968
70,CA-2017-119823,4/6/2017 0:00,6/6/2017 0:00,First Class,KD-16270,Karen Daniels,Consumer,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,75.88
71,CA-2017-106075,9/18/2017 0:00,9/23/2017 0:00,Standard Class,HM-14980,Henry MacAllister,Consumer,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,4.616
72,CA-2018-114440,9/14/2018 0:00,9/17/2018 0:00,Second Class,TB-21520,Tracy Blumstein,Consumer,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,19.05
73,US-2016-134026,4/26/2016 0:00,2/5/2016 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,831.936
74,US-2016-134026,4/26/2016 0:00,2/5/2016 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,97.04
75,US-2016-134026,4/26/2016 0:00,2/5/2016 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,72.784
76,US-2018-118038,9/12/2018 0:00,11/12/2018 0:00,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,1.248
77,US-2018-118038,9/12/2018 0:00,11/12/2018 0:00,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,9.708
78,US-2018-118038,9/12/2018 0:00,11/12/2018 0:00,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,27.24
79,US-2015-147606,11/26/2015 0:00,1/12/2015 0:00,Second Class,JE-15745,Joel Eaton,Consumer,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,19.3
80,CA-2017-127208,12/6/2017 0:00,6/15/2017 0:00,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,208.16
81,CA-2017-127208,12/6/2017 0:00,6/15/2017 0:00,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,16.74
82,CA-2015-139451,12/10/2015 0:00,10/16/2015 0:00,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,14.9
83,CA-2015-139451,12/10/2015 0:00,10/16/2015 0:00,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,21.39
84,CA-2016-149734,3/9/2016 0:00,8/9/2016 0:00,Standard Class,JC-16105,Julie Creighton,Corporate,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,200.984
85,US-2018-119662,11/13/2018 0:00,11/16/2018 0:00,First Class,CS-12400,Christopher Schild,Home Office,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,230.376
86,CA-2018-140088,5/28/2018 0:00,5/30/2018 0:00,Second Class,PO-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,301.96
87,CA-2018-155558,10/26/2018 0:00,2/11/2018 0:00,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,19.99
88,CA-2018-155558,10/26/2018 0:00,2/11/2018 0:00,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,6.16
89,CA-2017-159695,5/4/2017 0:00,10/4/2017 0:00,Second Class,GM-14455,Gary Mitchum,Home Office,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,158.368
90,CA-2017-109806,9/17/2017 0:00,9/22/2017 0:00,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,20.1
91,CA-2017-109806,9/17/2017 0:00,9/22/2017 0:00,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,73.584
92,CA-2017-109806,9/17/2017 0:00,9/22/2017 0:00,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,6.48
93,CA-2016-149587,1/31/2016 0:00,5/2/2016 0:00,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,12.96
94,CA-2016-149587,1/31/2016 0:00,5/2/2016 0:00,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,53.34
95,CA-2016-149587,1/31/2016 0:00,5/2/2016 0:00,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,32.96
96,US-2018-109484,6/11/2018 0:00,12/11/2018 0:00,Standard Class,RB-19705,Roger Barcio,Home Office,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,5.682
97,CA-2018-161018,9/11/2018 0:00,11/11/2018 0:00,Second Class,PN-18775,Parhena Norris,Home Office,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,96.53
98,CA-2018-157833,6/17/2018 0:00,6/20/2018 0:00,First Class,KD-16345,Katherine Ducich,Consumer,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,51.312
99,CA-2017-149223,6/9/2017 0:00,11/9/2017 0:00,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,77.88
100,CA-2017-158568,8/29/2017 0:00,2/9/2017 0:00,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,64.624
101,CA-2017-158568,8/29/2017 0:00,2/9/2017 0:00,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,95.976
102,CA-2017-158568,8/29/2017 0:00,2/9/2017 0:00,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,1.788
103,CA-2017-129903,1/12/2017 0:00,4/12/2017 0:00,Second Class,GZ-14470,Gary Zandusky,Consumer,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,23.92
104,US-2016-156867,11/13/2016 0:00,11/17/2016 0:00,Standard Class,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,238.896
105,US-2016-156867,11/13/2016 0:00,11/17/2016 0:00,Standard Class,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,102.36
106,US-2016-156867,11/13/2016 0:00,11/17/2016 0:00,Standard Class,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,OFF-BI-10002794,Office Supplies,Binders,36.882
107,CA-2018-119004,11/23/2018 0:00,11/28/2018 0:00,Standard Class,JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,South,TEC-AC-10003499,Technology,Accessories,74.112
108,CA-2018-119004,11/23/2018 0:00,11/28/2018 0:00,Standard Class,JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,South,TEC-PH-10002844,Technology,Phones,27.992
109,CA-2018-119004,11/23/2018 0:00,11/28/2018 0:00,Standard Class,JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,South,OFF-AR-10000390,Office Supplies,Art,3.304
110,CA-2016-129476,10/15/2016 0:00,10/20/2016 0:00,Standard Class,PA-19060,Pete Armstrong,Home Office,Orland Park,Illinois,Central,TEC-AC-10000844,Technology,Accessories,339.96
111,CA-2018-146780,12/25/2018 0:00,12/30/2018 0:00,Standard Class,CV-12805,Cynthia Voltz,Corporate,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,41.96
112,CA-2017-128867,3/11/2017 0:00,10/11/2017 0:00,Standard Class,CL-12565,Clay Ludtke,Consumer,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,75.96
113,CA-2017-128867,3/11/2017 0:00,10/11/2017 0:00,Standard Class,CL-12565,Clay Ludtke,Consumer,Urbandale,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,27.24
114,CA-2015-115259,8/25/2015 0:00,8/27/2015 0:00,Second Class,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,East,OFF-FA-10000621,Office Supplies,Fasteners,40.096
115,CA-2015-115259,8/25/2015 0:00,8/27/2015 0:00,Second Class,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,East,OFF-EN-10002600,Office Supplies,Envelopes,4.72
116,CA-2015-115259,8/25/2015 0:00,8/27/2015 0:00,Second Class,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,East,OFF-PA-10004965,Office Supplies,Paper,23.976
117,CA-2015-115259,8/25/2015 0:00,8/27/2015 0:00,Second Class,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,East,OFF-EN-10002504,Office Supplies,Envelopes,130.464
118,CA-2016-110457,2/3/2016 0:00,6/3/2016 0:00,Standard Class,DK-13090,Dave Kipp,Consumer,Seattle,Washington,West,FUR-TA-10001768,Furniture,Tables,787.53
119,US-2016-136476,5/4/2016 0:00,10/4/2016 0:00,Standard Class,GG-14650,Greg Guthrie,Corporate,Bristol,Tennessee,South,OFF-BI-10003650,Office Supplies,Binders,157.794
120,CA-2017-103730,12/6/2017 0:00,6/15/2017 0:00,First Class,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,47.04
121,CA-2017-103730,12/6/2017 0:00,6/15/2017 0:00,First Class,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,East,OFF-BI-10003910,Office Supplies,Binders,30.84
122,CA-2017-103730,12/6/2017 0:00,6/15/2017 0:00,First Class,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,East,OFF-ST-10000777,Office Supplies,Storage,226.56
123,CA-2017-103730,12/6/2017 0:00,6/15/2017 0:00,First Class,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,East,OFF-EN-10002500,Office Supplies,Envelopes,115.02
124,CA-2017-103730,12/6/2017 0:00,6/15/2017 0:00,First Class,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,East,TEC-PH-10003875,Technology,Phones,68.04
125,US-2015-152030,12/26/2015 0:00,12/28/2015 0:00,Second Class,AD-10180,Alan Dominguez,Home Office,Houston,Texas,Central,FUR-CH-10004063,Furniture,Chairs,600.558
126,US-2015-134614,9/20/2015 0:00,9/25/2015 0:00,Standard Class,PF-19165,Philip Fox,Consumer,Bloomington,Illinois,Central,FUR-TA-10004534,Furniture,Tables,617.7
127,US-2018-107272,5/11/2018 0:00,12/11/2018 0:00,Standard Class,TS-21610,Troy Staebel,Consumer,Phoenix,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,2.388
128,US-2018-107272,5/11/2018 0:00,12/11/2018 0:00,Standard Class,TS-21610,Troy Staebel,Consumer,Phoenix,Arizona,West,OFF-ST-10002974,Office Supplies,Storage,243.992
129,US-2017-125969,6/11/2017 0:00,10/11/2017 0:00,Second Class,LS-16975,Lindsay Shagiari,Home Office,Los Angeles,California,West,FUR-CH-10001146,Furniture,Chairs,81.424
130,US-2017-125969,6/11/2017 0:00,10/11/2017 0:00,Second Class,LS-16975,Lindsay Shagiari,Home Office,Los Angeles,California,West,FUR-FU-10003773,Furniture,Furnishings,238.56
131,US-2018-164147,2/2/2018 0:00,5/2/2018 0:00,First Class,DW-13585,Dorothy Wardle,Corporate,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,59.97
132,US-2018-164147,2/2/2018 0:00,5/2/2018 0:00,First Class,DW-13585,Dorothy Wardle,Corporate,Columbus,Ohio,East,OFF-PA-10002377,Office Supplies,Paper,78.304
133,US-2018-164147,2/2/2018 0:00,5/2/2018 0:00,First Class,DW-13585,Dorothy Wardle,Corporate,Columbus,Ohio,East,OFF-FA-10002780,Office Supplies,Fasteners,21.456
134,CA-2017-145583,10/13/2017 0:00,10/19/2017 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,West,OFF-PA-10001804,Office Supplies,Paper,20.04
135,CA-2017-145583,10/13/2017 0:00,10/19/2017 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,West,OFF-PA-10001736,Office Supplies,Paper,35.44
136,CA-2017-145583,10/13/2017 0:00,10/19/2017 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,West,OFF-AR-10001149,Office Supplies,Art,11.52
137,CA-2017-145583,10/13/2017 0:00,10/19/2017 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,West,OFF-FA-10002988,Office Supplies,Fasteners,4.02
138,CA-2017-145583,10/13/2017 0:00,10/19/2017 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,West,OFF-BI-10004781,Office Supplies,Binders,76.176
139,CA-2017-145583,10/13/2017 0:00,10/19/2017 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,West,OFF-SU-10001218,Office Supplies,Supplies,65.88
140,CA-2017-145583,10/13/2017 0:00,10/19/2017 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,West,FUR-FU-10001706,Furniture,Furnishings,43.12
141,CA-2017-110366,5/9/2017 0:00,7/9/2017 0:00,Second Class,JD-15895,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,82.8
142,CA-2018-106180,9/18/2018 0:00,9/23/2018 0:00,Standard Class,SH-19975,Sally Hughsby,Corporate,San Francisco,California,West,OFF-AR-10000940,Office Supplies,Art,8.82
143,CA-2018-106180,9/18/2018 0:00,9/23/2018 0:00,Standard Class,SH-19975,Sally Hughsby,Corporate,San Francisco,California,West,OFF-EN-10004030,Office Supplies,Envelopes,10.86
144,CA-2018-106180,9/18/2018 0:00,9/23/2018 0:00,Standard Class,SH-19975,Sally Hughsby,Corporate,San Francisco,California,West,OFF-PA-10004327,Office Supplies,Paper,143.7
145,CA-2018-155376,12/22/2018 0:00,12/27/2018 0:00,Standard Class,SG-20080,Sandra Glassco,Consumer,Independence,Missouri,Central,OFF-AP-10001058,Office Supplies,Appliances,839.43
